Species,Island,Sex,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
Gentoo Penguin,Dream,FEMALE,46.0,16.0,214,4925
Chinstrap Penguin,Biscoe,FEMALE,40.8,18.4,182,4070
Chinstrap Penguin,Biscoe,MALE,36.8,18.0,187,4180
Chinstrap Penguin,Dream,FEMALE,45.7,15.3,200,3770
Adelie Penguin,Biscoe,FEMALE,35.2,16.7,182,3190
Chinstrap Penguin,Dream,MALE,51.0,16.4,190,4360
Adelie Penguin,Dream,MALE,44.4,17.8,192,4135
Gentoo Penguin,Biscoe,FEMALE,48.8,15.4,224,4210
Adelie Penguin,Dream,MALE,49.3,19.6,178,4455
Gentoo Penguin,Biscoe,FEMALE,48.2,14.9,197,3815
Gentoo Penguin,Dream,FEMALE,52.3,14.8,218,4635
Gentoo Penguin,Biscoe,FEMALE,52.3,13.4,223,4610
Adelie Penguin,Biscoe,FEMALE,46.0,18.5,180,4260
Adelie Penguin,Torgersen,MALE,36.7,16.0,186,4350
Gentoo Penguin,Dream,MALE,43.1,15.2,226,5925
Gentoo Penguin,Biscoe,FEMALE,42.5,17.0,182,3210
Adelie Penguin,Biscoe,MALE,41.7,19.3,201,4860
Chinstrap Penguin,Biscoe,FEMALE,51.7,14.6,228,5885
Gentoo Penguin,Biscoe,FEMALE,38.4,16.7,185,3325
Gentoo Penguin,Dream,MALE,45.4,20.5,192,4165
Adelie Penguin,Biscoe,FEMALE,46.3,16.7,231,4655
Gentoo Penguin,Dream,FEMALE,52.4,17.5,207,4160
Gentoo Penguin,Biscoe,FEMALE,42.3,16.1,204,3750
Adelie Penguin,Dream,FEMALE,43.4,19.5,176,3875
Gentoo Penguin,Dream,MALE,59.2,15.7,231,5395
Gentoo Penguin,Biscoe,MALE,43.1,13.8,211,3570
Chinstrap Penguin,Dream,FEMALE,49.8,14.7,210,4430
Chinstrap Penguin,Dream,FEMALE,38.8,15.3,184,3605
Chinstrap Penguin,Biscoe,FEMALE,41.1,16.0,176,3450
Gentoo Penguin,Biscoe,FEMALE,48.0,16.1,212,4050
Gentoo Penguin,Biscoe,MALE,56.8,18.6,224,6040
Adelie Penguin,Biscoe,FEMALE,34.2,15.7,178,3100
Adelie Penguin,Torgersen,FEMALE,37.4,17.2,175,2940
Chinstrap Penguin,Dream,MALE,40.5,17.6,212,4060
Chinstrap Penguin,Biscoe,MALE,46.4,16.7,221,5055
Gentoo Penguin,Biscoe,MALE,53.7,15.2,229,5310
Adelie Penguin,Biscoe,FEMALE,44.0,20.0,222,4110
Adelie Penguin,Torgersen,MALE,33.7,18.9,173,2970
Gentoo Penguin,Biscoe,MALE,52.2,15.1,229,5405
Adelie Penguin,Dream,MALE,41.1,18.9,174,3330
Adelie Penguin,Biscoe,MALE,37.3,17.6,214,4715
Gentoo Penguin,Dream,MALE,47.0,17.7,216,4930
Adelie Penguin,Biscoe,MALE,35.5,20.3,176,3235
Adelie Penguin,Biscoe,FEMALE,35.8,19.9,177,3295
Adelie Penguin,Dream,FEMALE,45.0,20.8,182,3485
Chinstrap Penguin,Dream,FEMALE,43.6,20.4,175,3700
Chinstrap Penguin,Dream,FEMALE,50.5,16.5,198,4275
Chinstrap Penguin,Dream,MALE,46.9,19.4,205,4370
Gentoo Penguin,Biscoe,MALE,44.2,16.4,230,4195
Adelie Penguin,Biscoe,MALE,43.9,20.1,188,3820
Adelie Penguin,Biscoe,FEMALE,38.6,17.7,182,3700
Adelie Penguin,Biscoe,MALE,44.2,19.2,174,3145
Gentoo Penguin,Biscoe,MALE,43.1,17.2,202,4535
Gentoo Penguin,Torgersen,FEMALE,40.5,13.7,229,5545
Adelie Penguin,Torgersen,FEMALE,44.3,15.8,189,3340
Adelie Penguin,Biscoe,FEMALE,39.8,15.9,210,5265
Adelie Penguin,Dream,MALE,43.7,19.1,197,4240
Adelie Penguin,Biscoe,MALE,41.1,17.8,198,3630
Gentoo Penguin,Torgersen,MALE,48.7,17.2,229,5315
Adelie Penguin,Torgersen,FEMALE,33.0,16.2,175,3205
Adelie Penguin,Dream,MALE,46.2,15.1,226,4820
Chinstrap Penguin,Biscoe,FEMALE,46.0,15.2,206,4275
Gentoo Penguin,Dream,MALE,52.7,14.8,224,5895
Adelie Penguin,Biscoe,MALE,34.5,17.5,182,3160
Gentoo Penguin,Dream,FEMALE,36.5,17.6,179,3450
Adelie Penguin,Dream,FEMALE,47.0,19.8,210,4155
Adelie Penguin,Dream,MALE,41.8,18.1,187,4755
Gentoo Penguin,Torgersen,MALE,42.8,17.0,223,5630
Gentoo Penguin,Torgersen,MALE,48.6,14.0,230,5240
Gentoo Penguin,Biscoe,MALE,40.5,16.5,213,4990
Adelie Penguin,Torgersen,FEMALE,36.5,18.6,177,3300
Adelie Penguin,Dream,MALE,46.6,19.2,193,4020
Gentoo Penguin,Dream,MALE,46.7,15.4,216,5130
Adelie Penguin,Dream,FEMALE,35.6,19.2,175,3010
Gentoo Penguin,Dream,MALE,55.0,15.6,221,5935
Adelie Penguin,Dream,MALE,44.7,20.1,176,3660
Chinstrap Penguin,Biscoe,FEMALE,38.5,16.7,189,3825
Adelie Penguin,Dream,FEMALE,41.1,17.7,204,4520
Adelie Penguin,Dream,MALE,49.8,18.8,220,5385
Chinstrap Penguin,Torgersen,FEMALE,42.1,14.0,202,4830
Adelie Penguin,Torgersen,MALE,41.6,18.4,215,3905
Gentoo Penguin,Torgersen,MALE,49.4,17.0,182,4515
Chinstrap Penguin,Biscoe,MALE,42.6,17.9,192,4695
Adelie Penguin,Biscoe,FEMALE,35.5,21.3,173,3165
Chinstrap Penguin,Torgersen,FEMALE,37.3,16.4,185,4550
Gentoo Penguin,Torgersen,FEMALE,40.7,14.0,206,4685
Gentoo Penguin,Biscoe,MALE,39.4,14.4,231,5370
Adelie Penguin,Biscoe,MALE,45.3,18.4,199,5210
Adelie Penguin,Dream,MALE,40.0,19.7,175,3300
Chinstrap Penguin,Torgersen,FEMALE,46.3,15.2,203,4685
Chinstrap Penguin,Biscoe,FEMALE,39.3,19.1,199,3925
Adelie Penguin,Dream,FEMALE,47.2,18.4,177,3360
Gentoo Penguin,Biscoe,MALE,49.7,14.1,229,5290
Chinstrap Penguin,Biscoe,MALE,40.3,18.2,215,4500
Chinstrap Penguin,Dream,FEMALE,46.1,17.4,193,3865
Gentoo Penguin,Dream,FEMALE,39.8,14.8,196,4045
Chinstrap Penguin,Biscoe,MALE,45.7,17.6,200,4450
Gentoo Penguin,Biscoe,MALE,39.0,15.2,191,4020
Adelie Penguin,Biscoe,FEMALE,37.8,19.3,175,4050
Chinstrap Penguin,Biscoe,MALE,47.9,17.7,187,5010
Adelie Penguin,Biscoe,MALE,48.6,17.8,215,5145
Adelie Penguin,Biscoe,FEMALE,38.6,18.9,179,3170
Gentoo Penguin,Biscoe,MALE,43.1,16.4,203,4805
Gentoo Penguin,Biscoe,FEMALE,45.3,18.6,195,4240
Gentoo Penguin,Biscoe,MALE,56.0,17.5,217,5790
Gentoo Penguin,Torgersen,MALE,43.8,18.2,224,5430
Gentoo Penguin,Biscoe,MALE,53.6,18.5,231,5110
Gentoo Penguin,Biscoe,MALE,43.4,14.5,223,6120
Chinstrap Penguin,Biscoe,FEMALE,34.2,17.2,183,4280
Adelie Penguin,Biscoe,MALE,39.6,17.7,191,4185
Adelie Penguin,Biscoe,FEMALE,37.7,18.1,191,3060
Gentoo Penguin,Torgersen,MALE,36.2,15.7,186,4545
Adelie Penguin,Biscoe,FEMALE,38.9,18.4,174,3775
Gentoo Penguin,Dream,FEMALE,41.8,16.3,190,4110
Adelie Penguin,Torgersen,MALE,34.7,15.7,196,3730
Chinstrap Penguin,Biscoe,MALE,51.1,18.4,179,3530
Adelie Penguin,Biscoe,FEMALE,41.7,18.1,178,3510
Gentoo Penguin,Biscoe,FEMALE,43.0,14.3,203,5210
Gentoo Penguin,Dream,MALE,54.9,16.0,222,5450
Adelie Penguin,Dream,MALE,54.7,20.7,192,4790
Chinstrap Penguin,Biscoe,MALE,37.4,19.0,202,4085
Gentoo Penguin,Torgersen,FEMALE,53.6,14.5,227,5480
Chinstrap Penguin,Dream,FEMALE,48.8,13.9,206,5050
Gentoo Penguin,Biscoe,FEMALE,46.2,14.8,212,5435
Adelie Penguin,Dream,MALE,46.8,21.2,214,4800
Adelie Penguin,Biscoe,FEMALE,38.5,16.8,180,3770
Chinstrap Penguin,Biscoe,MALE,38.8,18.0,176,4070
Gentoo Penguin,Biscoe,FEMALE,45.3,16.3,192,3710
Chinstrap Penguin,Dream,MALE,43.3,18.5,208,3810
Chinstrap Penguin,Dream,MALE,45.9,18.2,184,4555
Chinstrap Penguin,Dream,MALE,41.9,17.3,219,4585
Chinstrap Penguin,Biscoe,MALE,51.3,15.5,192,4525
Chinstrap Penguin,Biscoe,FEMALE,44.7,15.1,216,5140
Gentoo Penguin,Biscoe,FEMALE,46.7,14.5,203,4025
Adelie Penguin,Torgersen,MALE,36.1,17.7,215,4955
Adelie Penguin,Dream,FEMALE,38.1,19.5,173,3575
Adelie Penguin,Biscoe,MALE,51.6,19.3,231,6130
Adelie Penguin,Biscoe,FEMALE,38.0,16.5,211,4150
Gentoo Penguin,Biscoe,FEMALE,44.1,15.4,223,5730
Adelie Penguin,Biscoe,MALE,44.3,16.7,199,4700
Chinstrap Penguin,Biscoe,MALE,39.6,18.6,196,3985
Chinstrap Penguin,Biscoe,MALE,46.3,18.5,180,3060
Adelie Penguin,Biscoe,FEMALE,34.8,18.2,184,3925
Gentoo Penguin,Dream,MALE,46.5,15.1,202,4605
Gentoo Penguin,Dream,MALE,45.6,17.0,194,3860
Chinstrap Penguin,Dream,MALE,53.7,16.2,225,5445
Chinstrap Penguin,Dream,MALE,43.3,15.9,189,3245
Gentoo Penguin,Biscoe,MALE,42.2,15.6,186,3430
Adelie Penguin,Biscoe,MALE,41.5,18.7,195,4415
Adelie Penguin,Dream,MALE,37.4,15.0,191,3470
Adelie Penguin,Biscoe,MALE,42.8,16.8,205,3520
Gentoo Penguin,Biscoe,MALE,53.2,15.9,228,6020
Gentoo Penguin,Biscoe,FEMALE,45.9,15.4,223,3970
Chinstrap Penguin,Dream,FEMALE,39.1,16.5,189,3560
Adelie Penguin,Biscoe,FEMALE,35.9,16.3,201,3405
Adelie Penguin,Dream,MALE,49.7,16.4,186,4060
Gentoo Penguin,Biscoe,FEMALE,53.4,15.6,220,5490
Adelie Penguin,Biscoe,FEMALE,38.6,18.9,187,3890
Gentoo Penguin,Dream,FEMALE,55.8,15.0,219,5250
Adelie Penguin,Torgersen,FEMALE,46.9,15.6,199,4125
Adelie Penguin,Dream,FEMALE,41.8,19.1,180,3765
Adelie Penguin,Biscoe,MALE,39.0,17.6,206,4020
Adelie Penguin,Biscoe,FEMALE,36.3,18.5,182,3910
Chinstrap Penguin,Biscoe,FEMALE,38.7,14.3,185,3225
Chinstrap Penguin,Biscoe,FEMALE,43.9,17.6,187,3760
Gentoo Penguin,Dream,FEMALE,41.0,15.3,188,2940
Gentoo Penguin,Biscoe,MALE,42.4,14.2,231,5260
Gentoo Penguin,Dream,MALE,55.9,13.7,231,6080
Chinstrap Penguin,Biscoe,MALE,40.4,17.4,217,4060
Gentoo Penguin,Biscoe,MALE,42.7,15.3,211,4995
Gentoo Penguin,Biscoe,MALE,43.9,19.3,203,4165
Adelie Penguin,Dream,MALE,37.9,18.7,173,3035
Gentoo Penguin,Dream,MALE,54.9,16.1,215,4920
Adelie Penguin,Biscoe,FEMALE,36.1,16.6,174,2940
Gentoo Penguin,Biscoe,MALE,46.5,14.4,214,4830
Chinstrap Penguin,Torgersen,FEMALE,39.1,16.4,191,3495
Gentoo Penguin,Dream,MALE,44.7,18.0,211,5115
Adelie Penguin,Dream,FEMALE,34.0,18.9,176,3240
Adelie Penguin,Torgersen,FEMALE,32.3,19.6,174,2915
Gentoo Penguin,Biscoe,MALE,45.4,20.3,198,4560
Gentoo Penguin,Biscoe,FEMALE,48.1,16.4,206,3675
Adelie Penguin,Biscoe,MALE,45.2,18.0,177,3195
Gentoo Penguin,Dream,FEMALE,46.9,16.5,193,4300
Gentoo Penguin,Biscoe,FEMALE,41.1,15.0,210,4965
Adelie Penguin,Biscoe,FEMALE,41.7,15.4,211,4945
Gentoo Penguin,Biscoe,FEMALE,49.8,17.3,195,4160
Adelie Penguin,Dream,MALE,35.9,17.8,185,3920
Adelie Penguin,Biscoe,FEMALE,41.3,17.8,178,4575
Adelie Penguin,Biscoe,FEMALE,39.5,17.7,181,3455
Adelie Penguin,Biscoe,FEMALE,37.4,15.6,197,4400
Adelie Penguin,Biscoe,MALE,41.2,18.5,182,3510
Adelie Penguin,Dream,MALE,46.5,20.3,193,4460
Gentoo Penguin,Dream,MALE,41.6,17.0,205,4770
Adelie Penguin,Dream,MALE,36.6,16.6,181,3105
Gentoo Penguin,Biscoe,MALE,46.6,15.6,217,5685
Chinstrap Penguin,Biscoe,MALE,39.6,15.3,199,4990
Chinstrap Penguin,Biscoe,FEMALE,40.1,14.9,219,5170
Gentoo Penguin,Torgersen,FEMALE,44.5,15.3,197,3870
Gentoo Penguin,Dream,MALE,44.5,14.6,209,4650
Adelie Penguin,Dream,MALE,38.4,17.6,173,3080
Adelie Penguin,Torgersen,FEMALE,44.5,17.5,184,3340
Adelie Penguin,Dream,MALE,39.1,19.7,183,3790
Adelie Penguin,Biscoe,MALE,45.2,18.7,204,4245
Gentoo Penguin,Torgersen,FEMALE,53.4,14.5,229,5640
Gentoo Penguin,Biscoe,MALE,52.9,16.4,230,4705
Gentoo Penguin,Dream,FEMALE,52.5,17.7,202,4220
Gentoo Penguin,Biscoe,MALE,51.8,15.8,214,5260
Adelie Penguin,Dream,FEMALE,41.2,21.3,173,3390
Gentoo Penguin,Biscoe,FEMALE,50.5,17.2,210,5155
Adelie Penguin,Biscoe,MALE,40.5,21.5,177,3310
Gentoo Penguin,Biscoe,FEMALE,41.3,13.2,212,4240
Gentoo Penguin,Biscoe,FEMALE,38.5,15.1,197,3295
Gentoo Penguin,Biscoe,MALE,51.2,15.9,205,4470
Gentoo Penguin,Torgersen,MALE,46.1,14.2,223,4480
Adelie Penguin,Dream,FEMALE,35.2,20.8,173,2910
Gentoo Penguin,Torgersen,MALE,44.1,13.3,226,4690
Gentoo Penguin,Biscoe,FEMALE,46.3,14.3,203,4520
Adelie Penguin,Biscoe,MALE,39.0,19.5,177,3820
Adelie Penguin,Dream,FEMALE,43.8,19.9,182,3245
Gentoo Penguin,Biscoe,MALE,38.9,16.4,212,3945
Gentoo Penguin,Torgersen,MALE,48.1,14.8,216,4480
Chinstrap Penguin,Biscoe,MALE,52.7,18.6,222,5325
Gentoo Penguin,Dream,FEMALE,41.4,16.7,202,4265
Gentoo Penguin,Biscoe,FEMALE,53.3,18.1,226,4455
Gentoo Penguin,Dream,FEMALE,53.5,17.5,224,4095
Gentoo Penguin,Dream,MALE,59.3,14.5,231,6135
Adelie Penguin,Biscoe,FEMALE,35.5,14.8,201,4055
Gentoo Penguin,Biscoe,MALE,50.0,18.4,212,3820
Gentoo Penguin,Torgersen,MALE,49.6,16.0,228,5675
Adelie Penguin,Biscoe,MALE,44.0,18.3,185,4690
Gentoo Penguin,Biscoe,MALE,48.9,15.4,191,4295
Adelie Penguin,Biscoe,FEMALE,43.4,19.5,189,3675
Adelie Penguin,Biscoe,FEMALE,41.2,18.2,194,3475
Adelie Penguin,Biscoe,MALE,45.3,17.7,228,5865
Adelie Penguin,Biscoe,FEMALE,37.0,20.4,183,3635
Adelie Penguin,Torgersen,FEMALE,40.1,17.9,197,3345
Adelie Penguin,Biscoe,FEMALE,44.8,14.7,217,4270
Adelie Penguin,Torgersen,FEMALE,36.1,17.1,176,4010
Chinstrap Penguin,Biscoe,MALE,42.4,16.6,200,5470
Adelie Penguin,Biscoe,MALE,44.0,18.3,221,4205
Gentoo Penguin,Biscoe,FEMALE,41.9,13.8,214,4300
Adelie Penguin,Dream,MALE,46.0,18.1,207,4835
